Number of digits (n),Simple Multiplication,Karatsuba
1297,72395927,6950105
1298,72507559,6998861
1299,72619275,6972649
1300,72731070,6996629
1301,72842965,7011321
1302,72954945,6993253
1303,73067005,6979841
1304,73179151,6998981
1305,73291382,7023869
1306,73403709,7022345
1307,73516106,7027165
1308,73628607,7027405
1309,73741178,7061377
1310,73853842,7061373
1311,73966601,7088505
1312,74079422,7079225
1313,74192357,7079401
1314,74305360,7096685
1315,74418463,7096845
1316,74531644,7099629
1317,74644896,7129041
1318,74758250,7121669
1319,74871690,7118741
1320,74985210,7114369
1321,75098834,7102389
1322,75212529,7142853
1323,75326311,7134437
1324,75440173,7151525
1325,75554124,7187341
1326,75668169,7149381
1327,75782288,7159589
1328,75896514,7181141
1329,76010801,7202577
1330,76125182,7200077
1331,76239659,7217697
1332,76354215,7211985
1333,76468861,7227057
1334,76583587,7238529
1335,76698392,7261357
1336,76813279,7230357
1337,76928285,7234905
1338,77043359,7243813
1339,77158513,7275173
1340,77273755,7287357
1341,77389087,7261601
1342,77504491,7297569
1343,77620007,7293793
1344,77735599,7311345
1345,77851273,7322457
1346,77967029,7324669
1347,78082864,7322297
1348,78198805,7337953
1349,78314834,7348285
1350,78430931,7357341
1351,78547115,7384189
1352,78663400,7343425
1353,78779753,7382453
1354,78896207,7353901
1355,79012723,7424769
1356,79129364,7412253
1357,79246061,7415409
1358,79362855,7392625
1359,79479726,7421577
1360,79596695,7428121
1361,79713735,7435989
1362,79830885,7432577
1363,79948105,7410085
1364,80065415,7460373
1365,80182811,7469849
1366,80300285,7488781
1367,80417839,7469889
1368,80535498,7462097
1369,80653243,7506409
1370,80771055,7508797
1371,80888974,7522681
1372,81006971,7541025
1373,81125057,7520577
1374,81243227,7559089
1375,81361475,7561525
1376,81479819,7572469
1377,81598243,7560785
1378,81716755,7607917
1379,81835351,7599317
1380,81954037,7596705
1381,82072800,7625485
1382,82191661,7621725
1383,82310605,7608885
1384,82429621,7654921
1385,82548751,7651125
1386,82667949,7641425
1387,82787228,7668985
1388,82906612,7643613
1389,83026065,7681921
1390,83145600,7696005
1391,83265235,7709813
1392,83384959,7700273
1393,83504753,7766581
1394,83624649,7723881
1395,83744614,7762569
1396,83864675,7736021
1397,83984827,7763185
