Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
393,1048325,369984,149954,70080,28032,84097,121920,42048,112129,70081
394,1059425,374060,151657,70750,28300,84901,123355,42450,113201,70751
395,1066797,376459,152564,71335,28534,85603,124028,42801,114137,71336
396,1064157,375634,152264,71110,28444,85333,123818,42666,113777,71111
397,1076601,379821,153895,72035,28814,86443,125079,43221,115257,72036
398,1083801,382376,154935,72510,29004,87013,125929,43506,116017,72511
399,1096873,387020,156827,73370,29348,88045,127477,44022,117393,73371
400,1103749,389325,157722,73885,29554,88663,128166,44331,118217,73886
401,1109925,391522,158618,74290,29716,89149,128900,44574,118865,74291
402,1100217,388208,157311,73590,29436,88309,127873,44154,117745,73591
403,1097597,387382,157008,73370,29348,88045,127658,44022,117393,73371
404,1114729,393286,159355,74580,29832,89497,129521,44748,119329,74581
405,1125073,396962,160853,75260,30104,90313,130747,45156,120417,75261
406,1103797,389624,157934,73760,29504,88513,128428,44256,118017,73761
407,1118789,394744,159954,74840,29936,89809,130016,44904,119745,74841
408,1123073,396292,160593,75110,30044,90133,130547,45066,120177,75111
409,1131117,399049,161684,75685,30274,90823,131408,45411,121097,75686
410,1138621,401800,162832,76140,30456,91369,132374,45684,121825,76141
411,1141001,402616,163155,76310,30524,91573,132629,45786,122097,76311
412,1142141,403120,163392,76340,30536,91609,132854,45804,122145,76341
413,1136585,401156,162595,75970,30388,91165,132205,45582,121553,75971
414,1159409,409114,165789,77540,31016,93049,134771,46524,124065,77541
415,1156821,408315,165502,77315,30926,92779,134574,46389,123705,77316
416,1158145,408801,165705,77395,30958,92875,134745,46437,123833,77396
417,1171705,413414,167519,78380,31352,94057,136165,47028,125409,78381
418,1174285,414429,167964,78505,31402,94207,136560,47103,125609,78506
419,1174673,414337,167853,78635,31454,94363,136397,47181,125817,78636
420,1170885,413268,167506,78260,31304,93913,136200,46956,125217,78261
421,1172797,414059,167864,78335,31334,94003,136528,47001,125337,78336
422,1189917,419792,170088,79620,31848,95545,138238,47772,127393,79621
423,1191637,420509,170414,79685,31874,95623,138538,47811,127497,79686
424,1195017,421715,170907,79905,31962,95887,138943,47943,127849,79906
425,1207421,426036,172640,80760,32304,96913,140334,48456,129217,80761
426,1203477,424614,172054,80510,32204,96613,139848,48306,128817,80511
427,1218213,429661,174050,81565,32626,97879,141422,48939,130505,81566
428,1211037,427393,173216,80965,32386,97159,140828,48579,129545,80966
